item,ruain,zip
http://www.wikidata.org/entity/Q44611089,,256 01
http://www.wikidata.org/entity/Q43389836,,149 00
http://www.wikidata.org/entity/Q43402372,,615 00
http://www.wikidata.org/entity/Q45588082,,102 00
http://www.wikidata.org/entity/Q26962960,,602 00
http://www.wikidata.org/entity/Q12016849,,60200
http://www.wikidata.org/entity/Q43386344,,100 00
http://www.wikidata.org/entity/Q12027821,,63900
http://www.wikidata.org/entity/Q43898158,,370 01
http://www.wikidata.org/entity/Q43898158,,370 04
http://www.wikidata.org/entity/Q43898158,,370 08
http://www.wikidata.org/entity/Q43451404,,360 01
http://www.wikidata.org/entity/Q43387162,,102 00
http://www.wikidata.org/entity/Q43897235,,370 01
http://www.wikidata.org/entity/Q43897235,,370 04
http://www.wikidata.org/entity/Q43436874,,753 01
http://www.wikidata.org/entity/Q43958771,,370 01
http://www.wikidata.org/entity/Q51885575,,471 03
http://www.wikidata.org/entity/Q43462848,,784 01
http://www.wikidata.org/entity/Q44710286,,667 01
http://www.wikidata.org/entity/Q44189042,,370 01
http://www.wikidata.org/entity/Q44209073,,370 01
http://www.wikidata.org/entity/Q43402758,,690 02
http://www.wikidata.org/entity/Q43481696,,301 00
http://www.wikidata.org/entity/Q16765316,,101 00
http://www.wikidata.org/entity/Q43386765,,102 00
http://www.wikidata.org/entity/Q43400462,,169 00
http://www.wikidata.org/entity/Q42119795,,101 00
http://www.wikidata.org/entity/Q45418760,,141 00
http://www.wikidata.org/entity/Q43396286,,102 00
http://www.wikidata.org/entity/Q43397117,,101 00
http://www.wikidata.org/entity/Q45791316,,788 32
http://www.wikidata.org/entity/Q43387887,,141 00
http://www.wikidata.org/entity/Q43387761,,110 00
http://www.wikidata.org/entity/Q43387761,,130 00
http://www.wikidata.org/entity/Q43958152,,370 01
http://www.wikidata.org/entity/Q43958152,,370 05
http://www.wikidata.org/entity/Q43958152,,370 11
http://www.wikidata.org/entity/Q43388421,,102 00
http://www.wikidata.org/entity/Q43400814,,102 00
http://www.wikidata.org/entity/Q38463161,,14000
http://www.wikidata.org/entity/Q43396464,,149 00
http://www.wikidata.org/entity/Q45567171,,102 00
http://www.wikidata.org/entity/Q43961398,,370 01
http://www.wikidata.org/entity/Q43389821,,101 00
http://www.wikidata.org/entity/Q43389821,,130 00
http://www.wikidata.org/entity/Q43400656,,130 00
http://www.wikidata.org/entity/Q44260727,,370 01
http://www.wikidata.org/entity/Q43389484,,102 00
http://www.wikidata.org/entity/Q43893329,,370 01
http://www.wikidata.org/entity/Q43893329,,370 04
http://www.wikidata.org/entity/Q43893329,,370 10
http://www.wikidata.org/entity/Q43387989,,149 00
http://www.wikidata.org/entity/Q43387989,,102 00
http://www.wikidata.org/entity/Q43387955,,171 00
http://www.wikidata.org/entity/Q45617675,,102 00
http://www.wikidata.org/entity/Q43386705,,100 00
http://www.wikidata.org/entity/Q43386555,,156 00
http://www.wikidata.org/entity/Q43386900,,102 00
http://www.wikidata.org/entity/Q43386900,,109 00
http://www.wikidata.org/entity/Q45387013,,141 00
http://www.wikidata.org/entity/Q43387909,,171 00
http://www.wikidata.org/entity/Q46235385,,104 00
http://www.wikidata.org/entity/Q43565748,,702 00
http://www.wikidata.org/entity/Q43400781,,120 00
http://www.wikidata.org/entity/Q46407528,,102 00
http://www.wikidata.org/entity/Q46407528,,109 00
http://www.wikidata.org/entity/Q43386320,,169 00
http://www.wikidata.org/entity/Q43396916,,148 00
http://www.wikidata.org/entity/Q43400565,,101 00
http://www.wikidata.org/entity/Q45410686,,141 00
http://www.wikidata.org/entity/Q43399207,,171 00
http://www.wikidata.org/entity/Q225293,,118 00
http://www.wikidata.org/entity/Q43398793,,171 00
http://www.wikidata.org/entity/Q43398793,,182 00
http://www.wikidata.org/entity/Q43398793,,181 00
http://www.wikidata.org/entity/Q43387885,,141 00
http://www.wikidata.org/entity/Q43396577,,171 00
http://www.wikidata.org/entity/Q43396577,,180 00
http://www.wikidata.org/entity/Q43396577,,182 00
http://www.wikidata.org/entity/Q43386337,,149 00
http://www.wikidata.org/entity/Q45386973,,141 00
http://www.wikidata.org/entity/Q46399332,,102 00
http://www.wikidata.org/entity/Q44748045,,747 21
http://www.wikidata.org/entity/Q43389040,,100 00
http://www.wikidata.org/entity/Q21874653,,141 00
http://www.wikidata.org/entity/Q3490603,,702 00
http://www.wikidata.org/entity/Q46187704,,102 00
http://www.wikidata.org/entity/Q43387092,,102 00
http://www.wikidata.org/entity/Q46187686,,102 00
http://www.wikidata.org/entity/Q45386957,,141 00
http://www.wikidata.org/entity/Q2993762,,110 00
http://www.wikidata.org/entity/Q43400092,,102 00
http://www.wikidata.org/entity/Q41089701,,384 73
http://www.wikidata.org/entity/Q43388130,,118 00
http://www.wikidata.org/entity/Q43398640,,160 00
http://www.wikidata.org/entity/Q43051764,,186 00
http://www.wikidata.org/entity/Q43386308,,149 00
http://www.wikidata.org/entity/Q45387001,,141 00
http://www.wikidata.org/entity/Q47069753,,686 03
http://www.wikidata.org/entity/Q43389000,,149 00
http://www.wikidata.org/entity/Q45386985,,141 00
http://www.wikidata.org/entity/Q45574591,,150 00
http://www.wikidata.org/entity/Q45386923,,141 00
http://www.wikidata.org/entity/Q47092699,,753 01
http://www.wikidata.org/entity/Q43391566,,149 00
http://www.wikidata.org/entity/Q43391304,,100 00
http://www.wikidata.org/entity/Q43400882,,102 00
http://www.wikidata.org/entity/Q43400882,,106 00
http://www.wikidata.org/entity/Q43388841,,130 00
http://www.wikidata.org/entity/Q43388841,,108 00
http://www.wikidata.org/entity/Q46407737,,691 85
http://www.wikidata.org/entity/Q45386939,,141 00
http://www.wikidata.org/entity/Q45416681,,109 00
http://www.wikidata.org/entity/Q46187668,,102 00
http://www.wikidata.org/entity/Q46386718,,252 10
http://www.wikidata.org/entity/Q46407548,,102 00
http://www.wikidata.org/entity/Q46407548,,109 00
http://www.wikidata.org/entity/Q46394239,,273 64
http://www.wikidata.org/entity/Q46250728,,102 00
